,0,1,2,3,4,5,6,7,8,9
0,0.08,0.03,0.35,0.01,0.07,0.07,0.03,0.2,0.08,0.08
1,0.01,0.01,0.23,0.01,0.19,0.33,0.06,0.0,0.06,0.1
2,0.01,0.0,0.12,0.03,0.5814285714285714,0.024285714285714285,0.0,0.12,0.01,0.10428571428571429
3,0.0,0.12,0.05,0.03,0.2,0.3,0.01,0.0,0.16,0.13
4,0.02,0.01,0.19,0.0,0.27,0.26,0.0,0.02,0.0,0.23
5,0.01,0.0,0.4158333333333333,0.0,0.07,0.3341666666666667,0.01,0.0,0.13,0.03
6,0.12,0.03,0.18,0.05,0.15,0.39,0.01,0.02,0.0,0.05
7,0.07,0.01,0.14,0.0,0.06,0.14,0.05,0.41,0.0,0.12
8,0.0,0.0,0.24,0.01,0.33,0.24,0.02,0.05,0.06,0.05
9,0.09,0.0,0.32,0.0,0.05,0.34,0.1,0.0,0.03,0.07
10,0.11,0.01,0.25,0.0,0.1,0.23,0.07,0.06,0.03,0.14
11,0.01,0.1,0.04,0.06,0.33,0.22,0.04,0.01,0.04,0.15
12,0.08,0.0,0.09,0.01,0.07,0.25,0.16,0.04,0.1,0.2
13,0.04,0.0,0.28,0.03,0.13,0.3,0.08,0.0,0.13,0.01
14,0.18,0.0,0.11,0.04,0.03333333333333333,0.19666666666666666,0.1,0.11,0.14,0.09
15,0.01,0.0,0.29,0.04,0.14454761904761906,0.29530952380952386,0.03,0.0,0.0,0.1901428571428571
16,0.1,0.0,0.16,0.0,0.0,0.1,0.31,0.09,0.19,0.05
17,0.12,0.0,0.17,0.0,0.21,0.4,0.04,0.01,0.02,0.03
18,0.05,0.07,0.03,0.02,0.2775,0.24,0.05,0.02,0.0,0.2425
19,0.02,0.01,0.26,0.0,0.09,0.37,0.08,0.01,0.0,0.16
20,0.0325,0.0,0.1,0.11,0.3345,0.314,0.01,0.05,0.019,0.03
21,0.03,0.01,0.15,0.06,0.13,0.41,0.04,0.0,0.1,0.07
22,0.0,0.0,0.02333333333333333,0.06,0.53,0.24,0.06,0.0,0.0,0.08666666666666668
23,0.0,0.01,0.17,0.0,0.1,0.65,0.05,0.0,0.0,0.02
24,0.18,0.0,0.13,0.02,0.02,0.4,0.05,0.01,0.07,0.12
