,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.104,balanced,balanced,0.06340890008396306,0.104,0.025748496620722684
1,TfIdf-max_features,RF,5,-1,0.178,balanced,balanced,0.17404585157910152,0.178,0.17507634147616075
2,TfIdf-max_features,NB,5,-1,0.156,balanced,balanced,0.15657249353934533,0.156,0.1069520992092782
3,TfIdf-max_features,SVM,25,-1,0.1085,balanced,balanced,0.17254056795131845,0.1085,0.035546469969203146
4,TfIdf-max_features,RF,25,-1,0.199,balanced,balanced,0.19552342397368522,0.199,0.196286663063346
5,TfIdf-max_features,NB,25,-1,0.203,balanced,balanced,0.23372519983299067,0.203,0.17385124294146076
6,TfIdf-max_features,SVM,45,-1,0.1395,balanced,balanced,0.16098280616241956,0.1395,0.07898893323071805
7,TfIdf-max_features,RF,45,-1,0.226,balanced,balanced,0.22129531798029745,0.226,0.2228029195556413
8,TfIdf-max_features,NB,45,-1,0.215,balanced,balanced,0.26585054402140557,0.215,0.19449374155931812
9,TfIdf-max_features,SVM,65,-1,0.24,balanced,balanced,0.3016426730863818,0.24,0.21627382226244862
10,TfIdf-max_features,RF,65,-1,0.2515,balanced,balanced,0.24635651106663264,0.2515,0.2482884841752542
11,TfIdf-max_features,NB,65,-1,0.2295,balanced,balanced,0.2677077505472808,0.2295,0.2084818145733213
12,TfIdf-max_features,SVM,85,-1,0.1515,balanced,balanced,0.5299801027166446,0.1515,0.10375088988759791
13,TfIdf-max_features,RF,85,-1,0.261,balanced,balanced,0.256966623215385,0.261,0.2582071443462529
14,TfIdf-max_features,NB,85,-1,0.235,balanced,balanced,0.2630945500480679,0.235,0.21456368432647083
