,0,1,2,3,4,5,6,7,8,9
0,6.711700913165648e-172,7.603491100256687e-16,1.0,4.447264295339164e-75,1.8275619866416087e-62,3.1956403574312042e-103,7.0195456556837e-155,0.0,2.4967079855812988e-148,8.965410091716316e-44
1,5.864449265558763e-188,8.627414582668254e-78,0.615704649789022,1.1065038187344836e-125,4.085848227998697e-257,3.078696317029654e-111,3.8300925363169e-46,0.0,3.9480510856129424e-235,0.38429535021105654
2,4.883006675159033e-07,8.24686582314435e-309,6.685419681460898e-60,0.0,5.5135136797205375e-201,1.2555913000133367e-206,1.2953090133107777e-273,0.9999995116992351,9.63173880996662e-53,8.369953734271271e-27
3,1.0,4.685647203596e-312,1.0510801048597425e-47,3.0832390026636614e-280,1.5679546805750622e-253,1.4791995827933166e-117,5.6179418573642887e-70,4.1097072996780257e-116,3.541509191183624e-16,4.983557894130042e-115
4,6.720876173382492e-63,0.0,2.9569317729638493e-197,0.0,0.0,0.0,0.0,1.0,3.034471058883516e-121,1.5701931999724392e-225
5,4.23582136803457e-134,1.0,2.2977718787590398e-207,2.851727603771763e-38,5.9927895799736e-126,1.2232792468612252e-164,0.0,7.032869103180982e-241,1.898727787655406e-207,1.8719524564485532e-85
6,9.996555001900808e-87,1.0,9.499492690455084e-112,4.460060492518087e-21,4.629546935169035e-33,3.4034772161479994e-106,1.5715099400572582e-81,1.662369988285349e-107,4.851311314357628e-100,2.6906746357043273e-75
7,4.2416601358684115e-43,8.900867745490167e-66,2.414438802040866e-96,2.0322112586002617e-109,1.0,6.50008266207023e-124,7.23083477943187e-141,1.1816394539836218e-48,4.2420843231575054e-80,2.7499811367732417e-49
8,4.6463409244025735e-88,0.9999999999990905,1.3894895004124657e-89,2.4478359595116753e-15,9.695378511369257e-13,9.210003726077807e-83,1.5663263562703502e-96,5.602282536732088e-66,2.6403989045622336e-85,1.2617964503340245e-71
9,7.744632747438268e-68,0.0030205193824140966,5.166078618403562e-38,1.7534509588854181e-31,0.009219370803857352,6.34733859253026e-33,9.225205753267134e-48,1.8760316686745112e-26,6.4446990804626e-24,0.9877601098137944
10,0.0039978640440679145,0.0,6.531926195386722e-143,0.0,1.934135268401179e-236,5.4890794172147763e-76,0.9960021359560254,1.0175674925500756e-204,9.738799577183177e-57,2.3296608209094512e-130
11,7.21207727303838e-85,0.9999999999990905,9.211516844030808e-88,1.7161121076521868e-14,8.514064339911455e-13,6.8799826428884e-81,7.120013781052312e-94,5.449549291301934e-63,7.735014027640889e-82,7.162255912932802e-69
12,0.141158284844354,4.988281652479975e-121,1.4783175729483842e-25,1.8561596628932397e-100,5.921070377586138e-175,3.887726707204223e-45,7.140310630980617e-32,0.4068151461109247,1.935053930062711e-09,0.4520265671097258
13,1.0,0.0,3.5257631084973263e-104,1.9218625068622117e-299,1.26648400545e-312,1.0664201690517308e-127,2.0452508174918006e-60,2.905454808228507e-207,4.454365717467858e-47,1.4057765801214106e-211
14,6.9176845087902775e-19,6.195840656161141e-264,5.832583106332125e-94,1.7399522477199255e-186,0.0,2.549520828966817e-58,8.156277868169445e-50,1.0,9.970601364124895e-35,3.815627790921803e-18
15,0.3903283270607954,0.0,0.6096716729391755,2.714495021831905e-258,1.1577635931191175e-214,4.2594205537772845e-47,4.9417096091700027e-57,1.9408359507517605e-156,2.9393879219820914e-65,3.913554238654801e-27
16,6.88515215459369e-157,3.0261290577820834e-91,3.1835518823764374e-124,1.0,1.4560837704164242e-87,1.1612294142023783e-143,4.887987245510772e-183,2.5019372537729056e-273,2.0947800941414757e-281,1.1573846742514081e-185
17,0.9999999709389162,2.9061221701006038e-08,4.3856509985439725e-86,2.3561845834168945e-110,3.0161422739383214e-34,2.2104604250294036e-157,1.0069326617544092e-153,7.14701013760414e-39,9.588952734818771e-28,2.640624188283769e-35
18,1.0,1.440524662844214e-215,5.7511340686077396e-67,4.13896379849096e-106,7e-323,0.0,0.0,1.8320382135335072e-128,8.098478986734304e-167,0.0
19,1.5242771192226458e-153,2.4302796658070767e-24,3.2321465644780755e-35,1.3432484557259426e-88,2.350724940470049e-50,1.1694423299600872e-144,6.0194317284417703e-182,0.999999603044295,6.884330627038036e-08,3.281123894156193e-07
20,1.8332111385049523e-82,0.0,0.9999999999997726,2.396672615114047e-141,1.416556195513934e-119,1.1425979314139375e-99,1.0871757649379694e-38,3.635368958858838e-170,3.287626363753596e-13,1.0940052007884091e-64
21,8.890483132594259e-114,0.0,2.2154851373127055e-23,2.378719718220663e-246,4.7707699404850555e-147,1.4048444082585534e-116,1.0,3.951634448751269e-301,2.0156782704788033e-40,1.3816811264341912e-73
22,3.294777264655661e-66,0.0,2.0113532768684442e-169,0.0,0.0,5.801513461363309e-162,3.968003582998881e-58,1.0,1.8512179132094028e-73,1.9705135785974845e-231
23,2.5803781638039525e-16,1.6619626564538663e-175,0.9999963975457236,4.786863596044599e-93,4.0055629175070384e-76,1.8182248028008467e-27,9.166263792247714e-55,2.2476772774368757e-28,3.6024541531243955e-06,7.096395511084184e-19
24,1.0,0.0,2.3282685547186918e-29,0.0,1.0748377689837017e-276,6.850478761804352e-157,6.483618412476097e-54,1.1675816554494698e-112,3.359965850942025e-88,6.523550368038783e-201
25,4.68003155974416e-107,1.0008110703658152e-121,1.9601742508961746e-37,2.321554323497745e-08,3.600793784467501e-30,2.9329899016334736e-32,0.9999999767842385,1.2933443797321265e-80,3.0033093856976487e-128,9.747744645783031e-155
26,6.111744782829927e-74,0.9999999817673598,9.543786018065377e-79,1.241285123417157e-21,1.8232700283310113e-08,1.291635336977111e-78,3.457778684476708e-78,2.7574489782087295e-56,5.7009102900510004e-68,8.372341475553797e-76
